period,subperiod,secondsLeft,subject,population,match,matchID,strategy0,target0,payoff,percentChangePerSecond,name,min,max,subperiods,playersInGroup,length
1,0,29,1,1,1,0,0.96767163,0.96767163,58.53653,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,29,4,1,1,0,0.3058101,0.3058101,137.77924,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,29,3,1,1,0,0.05074954,0.05074954,71.31193,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,29,2,1,1,0,0.7396457,0.7396457,132.37231,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,29,1,1,1,0,0.96767163,0.96767163,58.53653,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,29,4,1,1,0,0.3058101,0.3058101,137.77924,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,29,3,1,1,0,0.05074954,0.05074954,71.31193,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,29,2,1,1,0,0.7396457,0.7396457,132.37231,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,29,4,1,1,0,0.3058101,0.3058101,298.83798,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,29,3,1,1,0,0.2,0.2,33.720673,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,29,2,1,1,0,0.2,0.2,33.720673,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,29,1,1,1,0,0.2,0.2,33.720673,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,29,4,1,1,0,0.3058101,0.3058101,278.83795,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,29,3,1,1,0,0.3,0.3,40.38734,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,29,2,1,1,0,0.3,0.3,40.38734,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,29,1,1,1,0,0.3,0.3,40.38734,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
