period,subperiod,secondsLeft,subject,population,match,matchID,strategy0,target0,payoff,percentChangePerSecond,name,min,max,subperiods,playersInGroup,length
1,1,0.027,1,1,1,0,0.8988574,0.8988574,186.5339,NaN,practic_1,NaN,NaN,10.0,3.0,30.0
1,1,0.027,3,1,1,0,0.16847306,0.16847306,154.4613,NaN,practic_1,NaN,NaN,10.0,3.0,30.0
1,1,0.027,2,1,1,0,0.12655091,0.12655091,59.004795,NaN,practic_1,NaN,NaN,10.0,3.0,30.0
1,2,0.024,1,1,1,0,0.8988574,0.8988574,186.5339,NaN,practic_1,NaN,NaN,10.0,3.0,30.0
1,2,0.024,3,1,1,0,0.16847306,0.16847306,154.4613,NaN,practic_1,NaN,NaN,10.0,3.0,30.0
1,2,0.024,2,1,1,0,0.12655091,0.12655091,59.004795,NaN,practic_1,NaN,NaN,10.0,3.0,30.0
1,3,0.021,1,1,1,0,0.8988574,0.8988574,186.5339,NaN,practic_1,NaN,NaN,10.0,3.0,30.0
1,3,0.021,3,1,1,0,0.16847306,0.16847306,154.4613,NaN,practic_1,NaN,NaN,10.0,3.0,30.0
1,3,0.021,2,1,1,0,0.12655091,0.12655091,59.004795,NaN,practic_1,NaN,NaN,10.0,3.0,30.0
1,4,0.018,3,1,1,0,0.16847306,0.16847306,154.4613,NaN,practic_1,NaN,NaN,10.0,3.0,30.0
1,4,0.018,2,1,1,0,0.12655091,0.12655091,59.004795,NaN,practic_1,NaN,NaN,10.0,3.0,30.0
1,4,0.018,1,1,1,0,0.8988574,0.8988574,186.5339,NaN,practic_1,NaN,NaN,10.0,3.0,30.0
1,5,0.015,1,1,1,0,0.8988574,0.8988574,186.5339,NaN,practic_1,NaN,NaN,10.0,3.0,30.0
1,5,0.015,3,1,1,0,0.16847306,0.16847306,154.4613,NaN,practic_1,NaN,NaN,10.0,3.0,30.0
1,5,0.015,2,1,1,0,0.12655091,0.12655091,59.004795,NaN,practic_1,NaN,NaN,10.0,3.0,30.0
1,6,0.012,3,1,1,0,0.5904762,0.5904762,154.4613,NaN,practic_1,NaN,NaN,10.0,3.0,30.0
1,6,0.012,2,1,1,0,0.12655091,0.12655091,143.40543,NaN,practic_1,NaN,NaN,10.0,3.0,30.0
1,6,0.012,1,1,1,0,0.8988574,0.8988574,102.13327,NaN,practic_1,NaN,NaN,10.0,3.0,30.0
1,7,0.009,1,1,1,0,0.8988574,0.8988574,102.45074,NaN,practic_1,NaN,NaN,10.0,3.0,30.0
1,7,0.009,3,1,1,0,0.5888889,0.5888889,154.4613,NaN,practic_1,NaN,NaN,10.0,3.0,30.0
1,7,0.009,2,1,1,0,0.12655091,0.12655091,143.08795,NaN,practic_1,NaN,NaN,10.0,3.0,30.0
1,8,0.006,1,1,1,0,0.8988574,0.8988574,102.45074,NaN,practic_1,NaN,NaN,10.0,3.0,30.0
1,8,0.006,3,1,1,0,0.5888889,0.5888889,154.4613,NaN,practic_1,NaN,NaN,10.0,3.0,30.0
1,8,0.006,2,1,1,0,0.12655091,0.12655091,143.08795,NaN,practic_1,NaN,NaN,10.0,3.0,30.0
1,9,0.003,1,1,1,0,0.8988574,0.8988574,194.91833,NaN,practic_1,NaN,NaN,10.0,3.0,30.0
1,9,0.003,3,1,1,0,0.0,0.0,25.310183,NaN,practic_1,NaN,NaN,10.0,3.0,30.0
1,9,0.003,2,1,1,0,0.12655091,0.12655091,179.77148,NaN,practic_1,NaN,NaN,10.0,3.0,30.0
1,10,0.0,1,1,1,0,0.8988574,0.8988574,194.91833,NaN,practic_1,NaN,NaN,10.0,3.0,30.0
1,10,0.0,3,1,1,0,0.0,0.0,25.310183,NaN,practic_1,NaN,NaN,10.0,3.0,30.0
1,10,0.0,2,1,1,0,0.12655091,0.12655091,179.77148,NaN,practic_1,NaN,NaN,10.0,3.0,30.0
1,1,0.027,1,1,1,0,0.60948014,0.60948014,77.03793,NaN,practic_1,NaN,NaN,10.0,3.0,30.0
1,1,0.027,2,1,1,0,0.7921333,0.7921333,119.677315,NaN,practic_1,NaN,NaN,10.0,3.0,30.0
1,1,0.027,3,1,1,0,0.40694362,0.40694362,203.28474,NaN,practic_1,NaN,NaN,10.0,3.0,30.0
1,2,0.024,1,1,1,0,0.60948014,0.60948014,77.03793,NaN,practic_1,NaN,NaN,10.0,3.0,30.0
1,2,0.024,3,1,1,0,0.40694362,0.40694362,203.28474,NaN,practic_1,NaN,NaN,10.0,3.0,30.0
1,2,0.024,2,1,1,0,0.7921333,0.7921333,119.677315,NaN,practic_1,NaN,NaN,10.0,3.0,30.0
1,3,0.021,1,1,1,0,0.60948014,0.60948014,77.03793,NaN,practic_1,NaN,NaN,10.0,3.0,30.0
1,3,0.021,3,1,1,0,0.40694362,0.40694362,203.28474,NaN,practic_1,NaN,NaN,10.0,3.0,30.0
1,3,0.021,2,1,1,0,0.7921333,0.7921333,119.677315,NaN,practic_1,NaN,NaN,10.0,3.0,30.0
