period,subperiod,secondsLeft,subject,population,match,matchID,strategy0,target0,payoff,percentChangePerSecond,name,min,max,subperiods,playersInGroup,length
1,1,0.027,1,1,1,0,0.67110145,0.67110145,154.77797,NaN,practic_1,NaN,NaN,10.0,3.0,30.0
1,1,0.027,3,1,1,0,0.5550087,0.5550087,69.17188,NaN,practic_1,NaN,NaN,10.0,3.0,30.0
1,1,0.027,2,1,1,0,0.32524204,0.32524204,176.05016,NaN,practic_1,NaN,NaN,10.0,3.0,30.0
1,2,0.024,1,1,1,0,0.67110145,0.67110145,154.77797,NaN,practic_1,NaN,NaN,10.0,3.0,30.0
1,2,0.024,2,1,1,0,0.32524204,0.32524204,176.05016,NaN,practic_1,NaN,NaN,10.0,3.0,30.0
1,2,0.024,3,1,1,0,0.5550087,0.5550087,69.17188,NaN,practic_1,NaN,NaN,10.0,3.0,30.0
1,3,0.021,1,1,1,0,0.67110145,0.67110145,154.77797,NaN,practic_1,NaN,NaN,10.0,3.0,30.0
1,3,0.021,3,1,1,0,0.5550087,0.5550087,69.17188,NaN,practic_1,NaN,NaN,10.0,3.0,30.0
1,3,0.021,2,1,1,0,0.32524204,0.32524204,176.05016,NaN,practic_1,NaN,NaN,10.0,3.0,30.0
1,4,0.018,1,1,1,0,0.67110145,0.67110145,154.77797,NaN,practic_1,NaN,NaN,10.0,3.0,30.0
1,4,0.018,3,1,1,0,0.5550087,0.5550087,69.17188,NaN,practic_1,NaN,NaN,10.0,3.0,30.0
1,4,0.018,2,1,1,0,0.32524204,0.32524204,176.05016,NaN,practic_1,NaN,NaN,10.0,3.0,30.0
1,5,0.015,1,1,1,0,0.67110145,0.67110145,154.77797,NaN,practic_1,NaN,NaN,10.0,3.0,30.0
1,5,0.015,3,1,1,0,0.5550087,0.5550087,69.17188,NaN,practic_1,NaN,NaN,10.0,3.0,30.0
1,5,0.015,2,1,1,0,0.32524204,0.32524204,176.05016,NaN,practic_1,NaN,NaN,10.0,3.0,30.0
1,6,0.012,1,1,1,0,0.67110145,0.67110145,154.77797,NaN,practic_1,NaN,NaN,10.0,3.0,30.0
1,6,0.012,3,1,1,0,0.5550087,0.5550087,69.17188,NaN,practic_1,NaN,NaN,10.0,3.0,30.0
1,6,0.012,2,1,1,0,0.32524204,0.32524204,176.05016,NaN,practic_1,NaN,NaN,10.0,3.0,30.0
1,7,0.009,1,1,1,0,0.67110145,0.67110145,154.77797,NaN,practic_1,NaN,NaN,10.0,3.0,30.0
1,7,0.009,3,1,1,0,0.5550087,0.5550087,69.17188,NaN,practic_1,NaN,NaN,10.0,3.0,30.0
1,7,0.009,2,1,1,0,0.32524204,0.32524204,176.05016,NaN,practic_1,NaN,NaN,10.0,3.0,30.0
1,8,0.006,1,1,1,0,0.67110145,0.67110145,154.77797,NaN,practic_1,NaN,NaN,10.0,3.0,30.0
1,8,0.006,3,1,1,0,0.5550087,0.5550087,69.17188,NaN,practic_1,NaN,NaN,10.0,3.0,30.0
1,8,0.006,2,1,1,0,0.32524204,0.32524204,176.05016,NaN,practic_1,NaN,NaN,10.0,3.0,30.0
1,9,0.003,1,1,1,0,0.67110145,0.67110145,154.77797,NaN,practic_1,NaN,NaN,10.0,3.0,30.0
1,9,0.003,3,1,1,0,0.5550087,0.5550087,69.17188,NaN,practic_1,NaN,NaN,10.0,3.0,30.0
1,9,0.003,2,1,1,0,0.32524204,0.32524204,176.05016,NaN,practic_1,NaN,NaN,10.0,3.0,30.0
1,10,0.0,1,1,1,0,0.67110145,0.67110145,154.77797,NaN,practic_1,NaN,NaN,10.0,3.0,30.0
1,10,0.0,3,1,1,0,0.5550087,0.5550087,69.17188,NaN,practic_1,NaN,NaN,10.0,3.0,30.0
1,10,0.0,2,1,1,0,0.32524204,0.32524204,176.05016,NaN,practic_1,NaN,NaN,10.0,3.0,30.0
2,1,0.027,1,1,1,0,0.53463864,0.53463864,38.887276,NaN,practic_2,NaN,NaN,10.0,3.0,30.0
2,1,0.027,2,1,1,0,0.6226281,0.6226281,168.54665,NaN,practic_2,NaN,NaN,10.0,3.0,30.0
2,1,0.027,3,1,1,0,0.42819172,0.42819172,192.56607,NaN,practic_2,NaN,NaN,10.0,3.0,30.0
2,2,0.024,1,1,1,0,0.53463864,0.53463864,38.887276,NaN,practic_2,NaN,NaN,10.0,3.0,30.0
2,2,0.024,3,1,1,0,0.42819172,0.42819172,192.56607,NaN,practic_2,NaN,NaN,10.0,3.0,30.0
2,2,0.024,2,1,1,0,0.6226281,0.6226281,168.54665,NaN,practic_2,NaN,NaN,10.0,3.0,30.0
2,3,0.021,1,1,1,0,0.53463864,0.53463864,38.887276,NaN,practic_2,NaN,NaN,10.0,3.0,30.0
2,3,0.021,3,1,1,0,0.42819172,0.42819172,192.56607,NaN,practic_2,NaN,NaN,10.0,3.0,30.0
2,3,0.021,2,1,1,0,0.6226281,0.6226281,168.54665,NaN,practic_2,NaN,NaN,10.0,3.0,30.0
2,4,0.018,3,1,1,0,0.42819172,0.42819172,174.52724,NaN,practic_2,NaN,NaN,10.0,3.0,30.0
2,4,0.018,2,1,1,0,0.6226281,0.6226281,186.5855,NaN,practic_2,NaN,NaN,10.0,3.0,30.0
2,4,0.018,1,1,1,0,0.44444445,0.44444445,38.887276,NaN,practic_2,NaN,NaN,10.0,3.0,30.0
2,5,0.015,1,1,1,0,0.31269842,0.31269842,148.17802,NaN,practic_2,NaN,NaN,10.0,3.0,30.0
2,5,0.015,3,1,1,0,0.42819172,0.42819172,61.985935,NaN,practic_2,NaN,NaN,10.0,3.0,30.0
2,5,0.015,2,1,1,0,0.6226281,0.6226281,189.83604,NaN,practic_2,NaN,NaN,10.0,3.0,30.0
2,6,0.012,1,1,1,0,0.31269842,0.31269842,148.17802,NaN,practic_2,NaN,NaN,10.0,3.0,30.0
2,6,0.012,3,1,1,0,0.42819172,0.42819172,61.985935,NaN,practic_2,NaN,NaN,10.0,3.0,30.0
2,6,0.012,2,1,1,0,0.6226281,0.6226281,189.83604,NaN,practic_2,NaN,NaN,10.0,3.0,30.0
2,7,0.009,1,1,1,0,0.31269842,0.31269842,148.17802,NaN,practic_2,NaN,NaN,10.0,3.0,30.0
2,7,0.009,3,1,1,0,0.42819172,0.42819172,61.985935,NaN,practic_2,NaN,NaN,10.0,3.0,30.0
2,7,0.009,2,1,1,0,0.6226281,0.6226281,189.83604,NaN,practic_2,NaN,NaN,10.0,3.0,30.0
