period,subperiod,secondsLeft,subject,population,match,matchID,strategy0,target0,payoff,percentChangePerSecond,name,min,max,subperiods,playersInGroup,length
1,1,0.027,1,1,1,0,0.41496998,0.41496998,212.00122,NaN,practic_1,NaN,NaN,10.0,3.0,30.0
1,1,0.027,3,1,1,0,0.7169741,0.7169741,127.59795,NaN,practic_1,NaN,NaN,10.0,3.0,30.0
1,1,0.027,2,1,1,0,0.64503616,0.64503616,60.400818,NaN,practic_1,NaN,NaN,10.0,3.0,30.0
1,2,0.024,1,1,1,0,0.41496998,0.41496998,212.00122,NaN,practic_1,NaN,NaN,10.0,3.0,30.0
1,2,0.024,3,1,1,0,0.7169741,0.7169741,127.59795,NaN,practic_1,NaN,NaN,10.0,3.0,30.0
1,2,0.024,2,1,1,0,0.64503616,0.64503616,60.400818,NaN,practic_1,NaN,NaN,10.0,3.0,30.0
1,3,0.021,1,1,1,0,0.41496998,0.41496998,212.00122,NaN,practic_1,NaN,NaN,10.0,3.0,30.0
1,3,0.021,3,1,1,0,0.7169741,0.7169741,127.59795,NaN,practic_1,NaN,NaN,10.0,3.0,30.0
1,3,0.021,2,1,1,0,0.64503616,0.64503616,60.400818,NaN,practic_1,NaN,NaN,10.0,3.0,30.0
1,4,0.018,1,1,1,0,0.41496998,0.41496998,212.00122,NaN,practic_1,NaN,NaN,10.0,3.0,30.0
1,4,0.018,3,1,1,0,0.7169741,0.7169741,127.59795,NaN,practic_1,NaN,NaN,10.0,3.0,30.0
1,4,0.018,2,1,1,0,0.64503616,0.64503616,60.400818,NaN,practic_1,NaN,NaN,10.0,3.0,30.0
1,5,0.015,1,1,1,0,0.41496998,0.41496998,212.00122,NaN,practic_1,NaN,NaN,10.0,3.0,30.0
1,5,0.015,3,1,1,0,0.7169741,0.7169741,127.59795,NaN,practic_1,NaN,NaN,10.0,3.0,30.0
1,5,0.015,2,1,1,0,0.64503616,0.64503616,60.400818,NaN,practic_1,NaN,NaN,10.0,3.0,30.0
1,6,0.012,1,1,1,0,0.41496998,0.41496998,205.21622,NaN,practic_1,NaN,NaN,10.0,3.0,30.0
1,6,0.012,3,1,1,0,0.6111111,0.6111111,46.013237,NaN,practic_1,NaN,NaN,10.0,3.0,30.0
1,6,0.012,2,1,1,0,0.64503616,0.64503616,148.77055,NaN,practic_1,NaN,NaN,10.0,3.0,30.0
